arabic,armenian,azerbaijani,basque,bengali,bosnian,bulgarian,catalan,cebuano,corsican,croatian,danish,esperanto,estonian,filipino,finnish,galician,georgian,german,greek,gujarati,haitian,hawaiian,hebrew,hmong,hungarian,icelandic,igbo,indonesian,irish,italian,japanese,javanese,kannada,kazakh,khmer,kurdish,kyrgyz,lao,latin,latvian,luxembourgish,macedonian,malagasy,malaysian,malayalam,maltese,maori,marathi,mongolian,nepali,pashto,persian,polish,portuguese,punjabi,romanian,samoan,serbian,shona,sindhi,sinhala,slovak,somali,spanish,sundanese,swahili,swedish,tajik,tamil,telugu,thai,urdu,uzbek,vietnamese,xhosa,yiddish,yoruba,zulu
كما,ինչպես,kimi,bezala,হিসাবে,kao,като,com,като,cum’è,kao,som,kiel,kui,bilang,kuin,como,როგორც,wie,ως,તરીકે,kòm,ka mea,כמו,raws li,mint,sem,dị ka,sebagai,mar,come,ように,minangka,ಮಾಹಿತಿ,ретінде,ដូចជា,dema,катары,ເປັນ,ut,kā,wéi,како,toy ny,sebagai,പോലെ,bħala,rite,म्हणून,гэж,रूप,په توګه,عنوان,jak,como,ਦੇ ਤੌਰ ਤੇ,ca,e pei,као,sezvo,جيئن,ලෙස,as,sida,como,siga,kama,som,мисли,என,గా,เป็น,کے طور پر,sifatida,như,xa,ווי,bi,njengoba
أنا,ես,mən,I,আমি,ja,I,I,I,I,ja,jeg,Mi,I,ako,minä,I,თოვლი,ich,εδώ,હું,mwen,kona,אני,kuv,I,ég,m,saya,mé,io,私は,aku,ನಾನು,мен,ខ្ញុំ,ez,мен,ຂ້າພະເຈົ້າ,sum,es,ech,јас,I,saya,ഞാന്,I,ahau,मी,би,म,زه,من,I,I,ਮੈਨੂੰ,eu,ou,И,ini,مون کي,මම,ja,ayaan,I,abdi,mimi,jag,ман,நான்,నేను,ฉัน,میں,men,tôi,mna,איך,Mo ti,I
له,նրա,onun,bere,তার,svoje,си,seva,си,u so,njegov,hans,sian,tema,kanyang,hänen,súa,მისი,seine,του,તેના,l’,ia,שלו,nws,övé,hans,ya,nya,a,il suo,彼の,kang,ಅವರ,оның,របស់គាត់,bûyin,анын,ລາວ,eius,viņa,sengem,неговата,ny,beliau,അവന്റെ,tiegħu,tona,त्याच्या,өөрийн,आफ्नो,د هغه د,خود,jego,seu,ਉਸ ਦੇ,lui,lana,његов,ake,سندس,ඔහුගේ,jeho,uu,su,na,yake,hans,вай,அவரது,తన,ของเขา,ان,uning,mình,yakhe,זיין,rẹ,wakhe
أن,որ,o,duten,যে,da,че,que,че,chì,da,at,ke,et,na,että,que,რომ,dass,ότι,કે,ki,I,ש,uas,hogy,að,na,bahwa,go,che,その,sing,ಆ,сол,ថា,va,ошол,ທີ່,quod,ka,datt,дека,fa,yang,ആ,li,e,त्या,гэж,कि,چې,که,że,que,", ਜੋ ਕਿ",că,lea,да,kuti,ته,බව,že,in,que,yen,kwamba,att,он,என்று,ఆ,ว่า,کہ,ekan,mà,ukuba,אַז,ti,ukuthi
هو,նա,belə,zuen,তিনি,on,той,ell,той,ellu,on,han,li,ta,siya,hän,el,ის,er,αυτός,તે,li,ia,הוא,nws,ő,hann,enye,dia,sé,lui,彼,piyambakipun,ಅವರು,ол,លោកបាន,ew,ал,ລາວ,ipse,viņš,hien,тој,izy,beliau,അവന്,hu,e ia,तो,тэр,उहाँले,هغه,او,on,ele,ਉਸ ਨੇ,el,ia,он,iye,هن چيو ته,ඔහු,sa,uu,él,manehna,yeye,han,вай,அவர்,అతను,เขา,وہ,u,ông,yena,ער,o si,yena
كان,էր,idi,izan zen,ছিল,je,е,era,е,fù,bio,var,estis,oli,noon ay,oli,foi,იყო,war,ήταν,હતી,te,"no ka mea,",היה,yog,volt,var,bụ,adalah,bhí,era,た,ana,ಆಗಿತ್ತು,болды,គឺ,bû,болду,ນີ້ແມ່ນ,fuit,bija,war,беше,dia,adalah,ആയിരുന്നു,kien,ko,होते,байсан,थियो,وه,بود,było,foi,"ਸੀ,",a fost,sa,био,aiva,هو,විය,bol,ahaa,era,ieu,mara,var,буд,இருந்தது,ఉంది,เป็น,تھا,edi,là,yaba,איז געווען,je,kwaba
إلى,համար,üçün,for,জন্য,za,за,per,за,di,za,til,por,jaoks,para sa,varten,para,განთავსების,für,για,માટે,pou,maluna o,עבור,rau,a,fyrir,n’ihi na,untuk,do,per,ために,kanggo,ಫಾರ್,үшін,សម្រាប់,bo,үчүн,ສໍາລັບການ,nam,par,fir,за,fa,untuk,വേണ്ടി,għal,hoki,साठी,нь,को लागि,لپاره,برای,dla,para,ਲਈ,pentru,mo,за,nokuti,لاء,සඳහා,pre,for,para,keur,kwa,för,барои,ஐந்து,కోసం,สำหรับ,کے لئے,uchun,cho,kuba,פֿאַר,fun,ngoba
في,– ին,on,an,উপর,na,на,en,на,nantu,na,på,sur,kohta,sa,päälle,en,წელი,auf,επί,પર,sou,ua,על,on,szóló,á,ụfọdụ,pada,ar,su,上の,ing,ಮೇಲೆ,бойынша,នៅលើ,li,боюнча,ສຸດ,in,gada,op,на,amin’ny,pada,മേല്,fuq,runga i,वर,дээр,मा,په,در,na,em,’ਤੇ,pe,i,о,pamusoro,تي,මත,na,on,en,dina,juu ya,på,ба,ம்,న,บน,پر,bo’yicha,trên,phezu,אויף,lori,on
هي,են,var,daude,হয়,su,са,són,са,sò,su,er,estas,on,ay,olemme,son,არის,sind,είναι,છે,yo se,me,הם,yog,vannak,eru,ma ọ bụrụ na,adalah,Tá,sono,アール,sing,ಇವೆ,болып табылады,មាន,in,болуп саналат,ແມ່ນ,"sunt,",ir,sinn,се,dia,adalah,ഉണ്ട്,huma,ko,आहेत,байна,हो,دي,هستیم,są,são,ਹਨ,sunt,e,су,ndivo,آهن,ඇත,sú,waa,son,nu,wako,är,доранд,உள்ளன,ఉన్నాయి,มี,ہیں,bor,là,zezi,זענען,ni o wa,kukhona
مع,հետ,ilə,Honekin,সঙ্গে,s,с,amb,с,cù,s,med,kun,koos,may,kanssa,con,ერთად,mit,με,સાથે,ak,lakou,עם,nrog,-val,með,ọrụ,dengan,le,con,とともに,karo,ಜೊತೆ,бірге,ជាមួយនឹង,bi,менен,ກັບ,cum,ar,mat,со,amin’ny,dengan,കൂടെ,ma,ki,सह,нь,संग,سره,با,zespół,com,ਦੇ ਨਾਲ,cu,i,с,ne,سان,සමග,s,la,con,jeung,kwa,med,аз,உடன்,తో,ด้วย,کے ساتھ,bilan,với,kunye,מיט,pẹlu,nge
هم,նրանք,onlar,dute,তারা,oni,те,que,те,si,oni,de,ili,nad,sila,ne,eles,ისინი,sie,αυτοί,તેઓ,yo,e,הם,lawv,ők,þeir,ha,mereka,siad,essi,彼ら,padha,ಅವರು,олар,ពួកគេ,ew,алар,ພວກເຂົາເຈົ້າ,illi,viņi,si,тие,izy ireo,mereka,അവര്,huma,ratou,ते,тэд,तिनीहरू,دوی,آنها,oni,eles,ਉਹ,ei,latou,они,ivo,اھي,ඔවුන්,sa,ay,ellos,maranehna,wao,de,онҳо,அவை,వారు,พวกเขา,وہ,ular,họ,bona,זיי,ti won,bona
يكون,լինել,olmaq,izan,হতে,biti,бъде,ser,бъде,essa,biti,være,esti,olema,maging,olla,ser,იყოს,sein,να,પ્રયત્ન,gen,ma,להיות,yuav,lehet,vera,ịbụ,menjadi,bheith,essere,ある,dadi,ಎಂದು,болуы,ជាការ,be,болуу,ຈະ,esse,būt,ginn,биде,ho,menjadi,എന്നു,jkun,kia,असू,байх,हुन,وي,بودن,być,ser,ਹੋ,fie,ona,бити,kuva,ٿي,විය,byť,noqon,ser,aya,kuwa,vara,будан,இருக்கும்,ఉంటుంది,จะเป็น,ہو,bo’lishi,được,kuba,זיין,ki o wa ni,kube
في,ի,at,at,এ,u,в,en,в,à,na,på,ĉe,juures,sa,klo,en,ზე,bei,σε,પર,nan,ʻekahi,ב,ntawm,meg,á,na,di,ag,a,アット,ing,ನಲ್ಲಿ,жанында,នៅ,ba,боюнча,ຢູ່,at,pie,op,на,amin’ny,di,ഭൂതകാല,fi,i,येथे,үед,मा,په,در,w,em,’ਤੇ,la,i,ат,pa,تي,දී,na,at,en,di,katika,vid,дар,மணிக்கு,వద్ద,ที่,میں,da,tại,ngexesha,אין,ni,at
واحد,մեկ,bir,bat,এক,jedan,един,significarà,един,unu,jedan,en,unu,üks,isa,yksi,un,ერთი,ein,ένας,એક,yon sèl,loaa,אחד,ib,egy,einn,otu,satu,amháin,uno,一つ,siji,ಒಂದು,бір,មួយ,yek,бир,ຫນຶ່ງ,unum,viens,eent,еден,iray,satu,ഒന്ന്,wieħed,kotahi,एक,нэг,एक,یو,یک,jeden,uma,ਇੱਕ,una,tasi,један,Poshi,هڪ,එක්,jeden,mid ka mid,uno,hiji,moja,ett,як,ஒரு,ఒకటి,หนึ่ง,ایک,bir,một,Nye,איינער,ọkan,eyodwa
ديك,ունենալ,var,dute,আছে,imaju,имат,tenir,имат,avè,imati,har,havos,olema,mayroon,olla,ten,აქვს,haben,έχω,છે,gen,keia,יש לי,muaj,van,hafa,nwere,memiliki,tá,avere,持っている,duwe,ಹೊಂದಿವೆ,бар,មាន,hebûn,бар,ມີ,habent,ir,hunn,имаат,manana,mempunyai,ഞങ്ങൾക്കുണ്ട്,jkollhom,E,आहे,байна,छ,لري,دارند,mieć,tem,ਹੈ,au,iai,имају,vane,آهي,ඇති,majú,leeyihiin,tener,ngabogaan,na,ha,доранд,வேண்டும்,కలిగి,มี,ہے,bor,có,kuba,האָבן,ni,abe
هذا,այս,bu,honetan,এই,ovo,тази,aquest,тази,issu,ovo,dette,tiu,Selle,ito,tämä,este,ამ,dies,αυτό,આ,sa a,mai,זה,no,ezt,þetta,a,ini,seo,questo,この,iki,ಈ,осы,នេះ,ev,бул,ນີ້,hoc,šī,dëst,овој,izany,ini,ഈ,dan,tenei,या,энэ нь,यो,دې,این,tego,este,ਇਸ ਨੂੰ,acest,lea,Ова,ichi,هن,මෙම,tento,this,este,ieu,hii,detta,ин,இந்த,ఈ,นี้,اس,bu,này,le,דעם,yi,le
من,– ից,dən,tik,থেকে,iz,от,des,от,da,iz,fra,el,alates,mula sa,alkaen,desde,საწყისი,aus,από,થી,soti nan,ma,מ,los ntawm,a,frá,si,dari,ó,da,から,saka,ರಿಂದ,-дан,ពី,ji,чейин,ຈາກ,de,no,aus,од,amin’ny,daripada,നിന്ന്,minn,mei,पासून,нь,देखि,له,از,z,a partir de,ਤੱਕ,de la,mai,из,kubva,کان,සිට,od,laga bilaabo,desde,ti,kutoka,från,аз,இருந்து,నుండి,จาก,سے,ushbudan boshlab:,từ,ku,פון,lati,kusuka
بواسطة,ի,tərəfindən,arabera,দ্বারা,po,от,per,от,par,od strane,ved,per,poolt,sa pamamagitan ng,mukaan,por,მიერ,durch,από,દ્વારા,pa,anal,על ידי,los ntawm,által,með,site,oleh,ag,da,バイ,dening,ಮೂಲಕ,арқылы,ដោយ,ji,менен,ໂດຍ,by,līdz,vun,од,amin’ny,oleh,കൊണ്ട്,minn,by,द्वारे,өөр,द्वारा,له خوا,توسط,przez,por,ਕੇ,de,i,би,kubudikidza,جي,විසින්,od,by,por,ku,na,genom,бо,மூலம்,ద్వారా,โดย,کی طرف سے,tomonidan,bởi,ngokuthi,דורך,nipa,by
حار,տաք,isti,hot,গরম,hot,горещ,calenta,горещ,cavura,vruće,hot,varmega,kuum,mainit,kuuma,quente,ცხელი,heiß,hot,ગરમ,cho,olelo,חם,kub,forró,heitt,na-ekpo ọkụ,hot,te,caldo,ホット,panas,ಬಿಸಿ,ыстық,ក្តៅ,germ,ысык,ຮ້ອນ,calidum,karsts,waarm,топла,mafana,panas,ചൂടുള്ള,sħun,wera,गरम,халуун,तातो,ګرم,داغ,gorący,quente,ਗਰਮ,fierbinte,vevela,Хот,Hot,گرم,උණුසුම්,hot,kulul,caliente,panas,moto,het,гарм,சூடான,వేడి,ร้อน,گرم، شہوت انگیز,issiq,nóng,shushu,וואַרעם,gbona,esishisayo
كلمة,բառ,word,hitza,শব্দ,reč,дума,paraula,дума,parulla,riječ,ord,vorto,Sõna,salita,sana,palabra,სიტყვა,Wort,λέξη,શબ્દ,mo,"aka,",מילה,lo lus,szó,orð,okwu,kata,focal,parola,言葉,tembung,ಪದ,сөз,ពាក្យ,bêje,сөз,ຄໍາ,"verbo,",vārds,wuert,збор,teny,perkataan,വാക്ക്,kelma,kupu,शब्द,үг,शब्द,کلمه,کلمه,słowo,palavra,ਸ਼ਬਦ ਨੂੰ,cuvânt,upu,реч,izwi,لفظ,වචනය,slovo,erayga,palabra,kecap,neno,ord,сухан,விக்சனரி,పదం,คำ,لفظ,so’z,từ,igama,וואָרט,ọrọ,igama
لكن,բայց,lakin,baina,কিন্তু,ali,но,però,но,ma,ali,men,sed,kuid,ngunit,mutta,pero,მაგრამ,aber,αλλά,પરંતુ,men,ka mea,אבל,tab sis,de,en,ma,tapi,ach,ma,しかし,nanging,ಆದರೆ,бірақ,ប៉ុន្តែការ,lebê,бирок,ແຕ່ວ່າ,sed,bet,mä,но,fa,tetapi,പക്ഷേ,imma,engari,परंतु,харин,तर,خو,اما,ale,mas,ਪਰ,dar,ae,али,asi,پر,නමුත්,ale,laakiin,pero,tapi,lakini,men,аммо,ஆனால்,కానీ,แต่,لیکن,lekin,nhưng,kodwa,אָבער,ṣugbọn,kodwana
ما,ինչ,nə,zer,কি,ono što,какво,ho,какво,Ce,što,hvad,kio,mida,kung ano,mitä,o que,რა,was,τι,શું,sa ki,kekahi,מה,dab tsi,milyen,hvað,ihe,apa,cad,cosa,何,apa,ಏನು,не,អ្វីដែល,çi,эмне,ສິ່ງທີ່,quod,ko,waat,што,inona,apa,എന്ത്,liema,te aha,काय,ямар,के,څه,چه,co,o que,ਕੀ ਹੈ,ce,ā,ста,chii,ڇا,කුමක් ද,čo,waxa,qué,naon,nini,vad,чӣ,என்ன,ఏమి,สิ่งที่,کیا,nima,những gì,Intoni,וואָס,kini,lokho
بعض,մի քանի,bəzi,batzuk,কিছু,neki,някои,alguns,някои,certi,Neki,nogle,iuj,mõned,ilang,jotkut,algúns,ზოგიერთი,einige,περίπου,કેટલાક,kèk,e like me,כמה,ib co,néhány,sumir,ụfọdụ,beberapa,roinnt,alcuni,いくつかの,sawetara,ಕೆಲವು,кейбір,មួយចំនួន,hin,кээ бир,ບາງ,aliqua,daži,puer,некои,ny sasany,beberapa,കുറെ,xi,etahi,काही,зарим нь,केही,يو شمېر,برخی از,niektóre,alguns,ਨੂੰ ਕੁਝ,unele,se,неки,vamwe,ڪجهه,සමහර,niektorí,qaar ka mid ah,algunos,sababaraha,baadhi,några,баъзе,சில,కొన్ని,บาง,کچھ,bir qancha,một số,ezinye,עטלעכע,diẹ ninu awọn,Kwezinye
هو,է,edir,da,হয়,je,е,és,е,hè,je,er,estas,on,ay,on,é,არის,ist,είναι,છે,se,ka mea,הוא,yog,az,er,bụ,adalah,tá,è,です,punika,ಆಗಿದೆ,болып табылады,គឺ,e,болуп саналат,ແມ່ນ,est,ir,ass,е,dia,adalah,ആകുന്നു,huwa,ko te,आहे,нь,छ,ده,است,jest,é,ਹੈ,este,o,је,ndiko,آهي,වේ,je,waa,es,nyaeta,ni,är,"аст,",ஆகிறது,ఉంది,เป็น,ہے,hisoblanadi,là,na,איז,ni,kuyinto
هو,այն,vaxt,berau,এটা,to,тя,el,тя,hè,to,det,ĝi,see,ito,se,el,ის,es,το,તે,li,ia,זה,nws,azt,það,ya,itu,sé,esso,それ,iku,ಇದು,бұл,វា,ew,ал,ມັນ,quod,tā,et,тоа,izany,ia,അത്,dan,reira,तो,энэ нь,यो,دا,آن,to,ele,ਇਸ ਨੂੰ,ea,na,она,naro,ان,එය,to,waxa,lo,eta,yake,den,ин,அது,ఇది,มัน,یہ,u,nó,kuyo,עס,o,it
أنت,դուք,siz,you,আপনি,te,ви,vostè,ви,tu,što,du,vi,sa,sa iyo,sinua,ti,თქვენ,Sie,σας,તમે,ou,oe,אתה,koj,Ön,þú,ị,anda,tú,voi,あなた,sampeyan,ನೀವು,Сіз,អ្នក,hûn,сиз,ທ່ານ,"vos,",jums,dir,ќе,ianao,anda,നിങ്ങളെ,inti,koutou,आपण,Хэрэв та,तपाईं,تاسو,شما,ty,você,ਤੁਹਾਨੂੰ,tu,oe,ви,iwe,توهان,ඔබ,ste,aad,usted,maneh,ninyi,du,шумо,நீங்கள்,మీరు,คุณ,آپ,siz,anh,nina,איר,ti o,wena
